Incident_ID,Date,Department,Type,Severity,Resolved,Owner_Employee_ID,Linked_Vendor_ID,Financial_Impact_INR
INC000090,11 January 2026,IT,Data Quality,CRITICAL,False,IBSH00079,IV0011," 560,768.00 "
INC000091,4 December 2025,Finance,Audit Finding,CRITICAL,False,IBSH00053,IV0050," 490,964.00 "
INC000092,21 November 2025,Procurement,Training Overdue,CRITICAL,False,IBSH00009,IV0022," 726,929.00 "
INC000093,19 July 2025,Supply Chain,Payment Delay,CRITICAL,False,IBSH00033,IV0047," 685,067.00 "
INC000094,3 May 2026,Vendor Management,Training Overdue,CRITICAL,False,IBSH00011,IV0038," 731,978.00 "
INC000095,6 May 2026,Risk & Audit,Payment Delay,CRITICAL,False,IBSH00084,IV0045," 248,299.00 "
INC000096,6 May 2026,Vendor Management,Contract Non-Compliance,CRITICAL,False,IBSH00040,IV0036," 510,998.00 "
INC000097,10 December 2025,Risk & Audit,PO Expiry,CRITICAL,False,IBSH00086,IV0045," 774,752.00 "
INC000098,25 February 2026,Supply Chain,Data Quality,CRITICAL,False,IBSH00047,IV0002," 197,993.00 "
INC000099,3 December 2025,Vendor Management,Vendor Risk,CRITICAL,False,IBSH00044,IV0050," 423,870.00 "
INC000100,4 February 2026,Legal,PO Expiry,CRITICAL,False,IBSH00020,IV0005," 500,000.00 "
INC000101,30 October 2025,IT,Data Quality,LOW,False,IBSH00005,IV0043," 632,352.00 "
INC000102,20 November 2025,Supply Chain,PO Expiry,MEDIUM,False,IBSH00021,IV0012," 726,259.00 "
INC000103,16 April 2026,Procurement,Audit Finding,MEDIUM,False,IBSH00047,IV0044," 558,934.00 "
INC000104,30 September 2025,Finance,Policy Violation,CRITICAL,False,IBSH00030,IV0035," 740,256.00 "
INC000105,1 October 2025,Legal,Training Overdue,HIGH,False,IBSH00087,IV0037," 591,799.00 "
INC000106,12 January 2026,Supply Chain,Data Quality,CRITICAL,False,IBSH00068,IV0027," 395,460.00 "
INC000107,22 August 2025,Vendor Management,Payment Delay,MEDIUM,False,IBSH00007,IV0042," 734,036.00 "
INC000108,2 February 2026,Compliance,Data Quality,HIGH,False,IBSH00016,IV0019," 681,479.00 "
INC000109,13 July 2025,HR,Data Quality,MEDIUM,False,IBSH00019,IV0028," 386,043.00 "
INC000110,17 July 2025,Risk & Audit,Approval Delay,MEDIUM,False,IBSH00054,IV0004," 573,042.00 "
INC000111,20 December 2025,Supply Chain,Contract Non-Compliance,HIGH,False,IBSH00048,IV0015," 347,232.00 "
INC000112,15 June 2025,Risk & Audit,PO Expiry,HIGH,False,IBSH00018,IV0003," 203,897.00 "
INC000113,25 October 2025,HR,Policy Violation,CRITICAL,False,IBSH00079,IV0001," 245,535.00 "
INC000114,11 July 2025,Legal,PO Expiry,LOW,False,IBSH00071,IV0047," 368,356.00 "
INC000115,8 April 2026,Finance,Vendor Risk,CRITICAL,False,IBSH00039,IV0008," 216,588.00 "
INC000116,25 June 2025,Operations,Policy Violation,MEDIUM,False,IBSH00009,IV0008," 540,219.00 "
INC000117,11 February 2026,IT,Vendor Risk,LOW,False,IBSH00092,IV0010," 762,653.00 "
INC000118,28 October 2025,Operations,Training Overdue,CRITICAL,False,IBSH00031,IV0037," 101,641.00 "
INC000119,31 December 2025,Compliance,Data Quality,MEDIUM,False,IBSH00047,IV0005," 796,644.00 "
INC000120,25 February 2026,HR,Approval Delay,LOW,False,IBSH00082,IV0025," 509,421.00 "
INC000121,9 December 2025,Risk & Audit,Contract Non-Compliance,HIGH,False,IBSH00045,IV0016," 117,032.00 "
INC000122,3 May 2026,Risk & Audit,PO Expiry,LOW,False,IBSH00006,IV0023," 710,170.00 "
INC000123,7 March 2026,Vendor Management,Policy Violation,HIGH,False,IBSH00090,IV0031," 774,021.00 "
INC000124,20 April 2026,Compliance,Policy Violation,MEDIUM,False,IBSH00005,IV0019," 241,404.00 "
INC000125,12 September 2025,Procurement,Training Overdue,LOW,False,IBSH00040,IV0033," 309,160.00 "
INC000126,21 December 2025,Procurement,Vendor Risk,CRITICAL,False,IBSH00037,IV0023," 365,619.00 "
INC000127,25 June 2025,Compliance,Training Overdue,HIGH,False,IBSH00056,IV0026," 386,489.00 "
INC000128,12 January 2026,Vendor Management,Policy Violation,CRITICAL,False,IBSH00089,IV0032," 455,506.00 "
INC000129,6 December 2025,Supply Chain,Contract Non-Compliance,HIGH,False,IBSH00056,IV0039," 186,625.00 "
INC000130,1 September 2025,Compliance,Contract Non-Compliance,HIGH,False,IBSH00042,IV0043," 436,815.00 "
INC000131,30 October 2025,Operations,Audit Finding,HIGH,False,IBSH00022,IV0045," 567,577.00 "
INC000132,14 January 2026,Procurement,Training Overdue,HIGH,False,IBSH00079,IV0028," 568,850.00 "
INC000133,19 October 2025,Supply Chain,Training Overdue,LOW,False,IBSH00066,," 178,687.00 "
INC000134,14 May 2026,Vendor Management,Policy Violation,MEDIUM,False,IBSH00005,IV0009," 132,654.00 "
INC000135,5 July 2025,Risk & Audit,Training Overdue,MEDIUM,False,IBSH00050,IV0037," 776,503.00 "
INC000136,17 June 2025,Risk & Audit,Training Overdue,MEDIUM,False,IBSH00057,IV0049," 571,779.00 "
INC000137,10 July 2025,Risk & Audit,Audit Finding,MEDIUM,False,IBSH00041,IV0042," 655,179.00 "
INC000138,21 October 2025,Procurement,PO Expiry,MEDIUM,False,IBSH00064,IV0034," 218,960.00 "
INC000139,16 December 2025,Finance,Policy Violation,LOW,False,IBSH00028,IV0040," 374,493.00 "
INC000140,25 October 2025,Compliance,PO Expiry,CRITICAL,False,IBSH00010,IV0029," 309,903.00 "
INC000141,28 August 2025,Risk & Audit,Training Overdue,CRITICAL,False,IBSH00091,IV0005," 192,056.00 "
INC000142,9 March 2026,Vendor Management,PO Expiry,HIGH,False,IBSH00047,IV0033," 414,528.00 "
INC000143,23 September 2025,Vendor Management,Vendor Risk,LOW,False,IBSH00064,IV0002," 310,744.00 "
INC000144,2 December 2025,IT,PO Expiry,HIGH,False,IBSH00079,IV0006," 590,111.00 "
INC000145,4 July 2025,HR,Data Quality,HIGH,False,IBSH00053,IV0050," 517,501.00 "
INC000146,27 December 2025,Risk & Audit,Contract Non-Compliance,LOW,False,IBSH00058,IV0030," 231,415.00 "
INC000147,15 May 2026,IT,PO Expiry,HIGH,False,IBSH00099,IV0009," 234,569.00 "
INC000148,8 January 2026,IT,PO Expiry,LOW,False,IBSH00039,IV0011," 230,193.00 "
INC000149,22 August 2025,Risk & Audit,Data Quality,HIGH,False,IBSH00037,IV0006," 336,423.00 "
INC000150,7 October 2025,IT,Payment Delay,MEDIUM,False,IBSH00017,IV0041," 500,000.00 "
INC000151,3 November 2025,Vendor Management,PO Expiry,LOW,False,IBSH00022,IV0043," 536,986.00 "
INC000152,16 April 2026,Procurement,Approval Delay,HIGH,False,IBSH00011,IV0003," 600,996.00 "
INC000153,25 April 2026,Legal,Audit Finding,HIGH,False,IBSH00080,IV0041," 692,759.00 "
INC000154,16 June 2025,Finance,Policy Violation,HIGH,True,IBSH00032,," 683,088.00 "
INC000155,25 December 2025,Procurement,PO Expiry,CRITICAL,True,IBSH00057,IV0027," 86,517.00 "
INC000156,3 February 2026,Operations,PO Expiry,MEDIUM,True,IBSH00041,IV0046," 366,717.00 "
INC000157,11 November 2025,Risk & Audit,Data Quality,CRITICAL,True,IBSH00072,IV0007," 147,118.00 "
INC000158,11 November 2025,Finance,Policy Violation,CRITICAL,True,IBSH00032,IV0010," 138,473.00 "
INC000159,20 July 2025,Operations,Audit Finding,HIGH,True,IBSH00032,IV0011," 412,810.00 "
INC000160,15 November 2025,Vendor Management,Policy Violation,HIGH,False,IBSH00066,IV0030," 209,055.00 "
INC000161,11 February 2026,Compliance,Audit Finding,CRITICAL,True,IBSH00065,IV0030," 34,302.00 "
INC000162,2 October 2025,Procurement,Payment Delay,HIGH,True,IBSH00064,IV0039," 61,021.00 "
INC000163,1 May 2026,Procurement,Contract Non-Compliance,HIGH,True,IBSH00056,IV0009," 572,761.00 "
INC000164,14 October 2025,Procurement,Audit Finding,CRITICAL,True,IBSH00007,IV0037," 393,713.00 "
INC000165,15 March 2026,Finance,Contract Non-Compliance,HIGH,True,IBSH00050,IV0033," 590,096.00 "
INC000166,17 January 2026,Operations,Contract Non-Compliance,HIGH,False,IBSH00017,IV0007," 663,516.00 "
INC000167,19 December 2025,Risk & Audit,PO Expiry,HIGH,True,IBSH00026,IV0039," 594,929.00 "
INC000168,16 February 2026,Procurement,PO Expiry,LOW,True,IBSH00092,IV0022," 57,504.00 "
INC000169,29 January 2026,Operations,Data Quality,CRITICAL,False,IBSH00018,IV0021," 166,175.00 "
INC000170,10 April 2026,Operations,Payment Delay,MEDIUM,True,IBSH00076,IV0022," 422,042.00 "
INC000171,15 February 2026,Operations,Payment Delay,CRITICAL,False,IBSH00061,," 753,167.00 "
INC000172,9 June 2025,Compliance,Audit Finding,HIGH,True,IBSH00075,IV0020," 716,537.00 "
INC000173,19 April 2026,Operations,Vendor Risk,CRITICAL,True,IBSH00093,IV0004," 288,428.00 "
INC000174,26 March 2026,Operations,Audit Finding,MEDIUM,True,IBSH00019,," 559,697.00 "
INC000175,15 May 2026,Compliance,Vendor Risk,LOW,True,IBSH00003,IV0029," 610,383.00 "
INC000176,8 November 2025,Legal,Audit Finding,MEDIUM,True,IBSH00065,IV0050," 443,020.00 "
INC000177,10 April 2026,Vendor Management,Data Quality,LOW,True,IBSH00027,IV0036," 750,058.00 "
INC000178,14 November 2025,Vendor Management,Policy Violation,CRITICAL,True,IBSH00069,IV0022," 338,993.00 "
INC000179,7 March 2026,HR,Vendor Risk,HIGH,True,IBSH00032,IV0018," 649,711.00 "
INC000180,13 March 2026,Finance,Vendor Risk,MEDIUM,True,IBSH00089,IV0046," 322,071.00 "
INC000181,6 February 2026,IT,Payment Delay,CRITICAL,True,IBSH00037,IV0008," 375,746.00 "
INC000182,21 March 2026,Risk & Audit,PO Expiry,CRITICAL,False,IBSH00038,IV0003," 423,697.00 "
INC000183,26 October 2025,Finance,Policy Violation,HIGH,True,IBSH00028,IV0013," 473,864.00 "
INC000184,3 March 2026,Compliance,Vendor Risk,HIGH,True,IBSH00032,IV0004," 153,941.00 "
INC000185,9 May 2026,Legal,Approval Delay,MEDIUM,False,IBSH00013,IV0027," 678,933.00 "
INC000186,17 November 2025,Vendor Management,Approval Delay,LOW,True,IBSH00071,IV0011," 724,281.00 "
INC000187,26 December 2025,Legal,Payment Delay,CRITICAL,True,IBSH00042,IV0019," 692,139.00 "
INC000188,27 April 2026,Operations,Vendor Risk,LOW,True,IBSH00069,IV0048," 693,984.00 "
INC000189,20 June 2025,Procurement,Audit Finding,CRITICAL,True,IBSH00064,IV0012," 194,327.00 "
INC000190,27 October 2025,Operations,Contract Non-Compliance,LOW,True,IBSH00043,IV0019," 322,886.00 "
INC000191,19 January 2026,IT,Policy Violation,CRITICAL,False,IBSH00035,IV0013," 150,718.00 "
INC000192,28 July 2025,HR,Payment Delay,MEDIUM,True,IBSH00092,IV0012," 776,634.00 "
INC000193,8 June 2025,Legal,PO Expiry,HIGH,True,IBSH00079,IV0041," 605,361.00 "
INC000194,25 December 2025,Supply Chain,Contract Non-Compliance,HIGH,True,IBSH00024,IV0009," 100,951.00 "
INC000195,31 January 2026,Finance,Audit Finding,MEDIUM,True,IBSH00031,IV0029," 17,161.00 "
INC000196,15 October 2025,Operations,Approval Delay,HIGH,True,IBSH00034,IV0042," 620,754.00 "
INC000197,2 December 2025,Compliance,Policy Violation,LOW,True,IBSH00040,IV0011," 710,224.00 "
INC000198,25 December 2025,Compliance,Payment Delay,HIGH,False,IBSH00048,IV0040," 733,821.00 "
INC000199,22 September 2025,Vendor Management,Policy Violation,MEDIUM,True,IBSH00096,IV0039," 511,410.00 "
INC000200,9 December 2025,Legal,Vendor Risk,CRITICAL,True,IBSH00088,IV0049," 500,000.00 "
INC000201,2 April 2026,Risk & Audit,Contract Non-Compliance,CRITICAL,True,IBSH00073,IV0008," 563,829.00 "
INC000202,2 July 2025,IT,PO Expiry,MEDIUM,False,IBSH00022,IV0021," 610,521.00 "
INC000203,22 February 2026,Legal,Policy Violation,LOW,True,IBSH00012,IV0033," 723,341.00 "
INC000204,15 January 2026,IT,Audit Finding,CRITICAL,True,IBSH00059,IV0037," 148,353.00 "
INC000205,30 June 2025,Finance,Approval Delay,CRITICAL,False,IBSH00051,IV0017," 715,448.00 "
INC000206,2 June 2025,Supply Chain,Training Overdue,LOW,True,IBSH00090,IV0005," 57,489.00 "
INC000207,5 March 2026,Procurement,Payment Delay,LOW,True,IBSH00053,IV0012," 505,002.00 "
INC000208,9 August 2025,HR,Audit Finding,HIGH,True,IBSH00049,IV0006," 411,058.00 "
INC000209,16 May 2026,Risk & Audit,Contract Non-Compliance,MEDIUM,False,IBSH00023,IV0035," 695,280.00 "
INC000210,19 December 2025,Legal,Approval Delay,MEDIUM,False,IBSH00097,IV0002," 773,214.00 "
INC000211,31 October 2025,Supply Chain,Vendor Risk,CRITICAL,True,IBSH00032,IV0030," 567,772.00 "
INC000212,25 November 2025,Compliance,Approval Delay,HIGH,True,IBSH00085,IV0027," 207,636.00 "
INC000213,11 April 2026,Compliance,Contract Non-Compliance,MEDIUM,True,IBSH00077,IV0003," 226,092.00 "
INC000214,15 January 2026,Procurement,Audit Finding,LOW,False,IBSH00057,IV0015," 266,622.00 "
INC000215,4 March 2026,IT,Payment Delay,LOW,True,IBSH00030,," 156,942.00 "
INC000216,22 March 2026,Finance,PO Expiry,HIGH,True,IBSH00085,IV0034," 258,411.00 "
INC000217,22 September 2025,Procurement,Data Quality,HIGH,True,IBSH00076,IV0048," 298,519.00 "
INC000218,29 August 2025,Risk & Audit,Audit Finding,CRITICAL,True,IBSH00068,IV0021," 59,161.00 "
INC000219,31 December 2025,Supply Chain,PO Expiry,MEDIUM,True,IBSH00097,IV0035," 324,455.00 "
INC000220,29 January 2026,Vendor Management,Policy Violation,MEDIUM,True,IBSH00008,IV0036," 325,344.00 "
INC000221,29 December 2025,Legal,Payment Delay,MEDIUM,True,IBSH00027,IV0022," 417,286.00 "
INC000222,28 April 2026,Compliance,Data Quality,CRITICAL,True,IBSH00093,IV0013," 399,102.00 "
INC000223,27 June 2025,Operations,Approval Delay,CRITICAL,True,IBSH00010,IV0013," 716,396.00 "
INC000224,28 March 2026,Legal,Training Overdue,MEDIUM,False,IBSH00039,IV0001," 512,681.00 "
INC000225,17 September 2025,HR,Vendor Risk,LOW,True,IBSH00090,IV0039," 793,159.00 "
INC000226,13 September 2025,Risk & Audit,Payment Delay,MEDIUM,True,IBSH00049,IV0030," 588,897.00 "
INC000227,1 March 2026,Risk & Audit,Data Quality,HIGH,True,IBSH00064,IV0030," 284,267.00 "
INC000228,21 July 2025,Risk & Audit,Training Overdue,HIGH,True,IBSH00053,IV0003," 222,994.00 "
INC000229,16 March 2026,Finance,Data Quality,MEDIUM,True,IBSH00075,IV0038," 27,007.00 "
INC000230,31 December 2025,Risk & Audit,Vendor Risk,MEDIUM,True,IBSH00049,IV0037," 215,721.00 "
INC000231,4 October 2025,HR,Policy Violation,HIGH,True,IBSH00059,IV0011," 279,826.00 "
INC000232,28 November 2025,IT,Policy Violation,MEDIUM,True,IBSH00024,IV0035," 765,303.00 "
INC000233,25 April 2026,Procurement,Approval Delay,LOW,True,IBSH00053,IV0009," 87,941.00 "
INC000234,19 April 2026,Vendor Management,Approval Delay,LOW,True,IBSH00028,IV0033," 751,521.00 "
INC000235,20 January 2026,Operations,Policy Violation,LOW,True,IBSH00085,IV0032," 657,847.00 "
INC000236,9 June 2025,Procurement,Data Quality,CRITICAL,True,IBSH00093,IV0018," 22,426.00 "
INC000237,2 March 2026,Supply Chain,PO Expiry,LOW,True,IBSH00014,IV0007," 536,611.00 "
INC000238,24 February 2026,Operations,Data Quality,MEDIUM,True,IBSH00033,," 211,255.00 "
INC000239,29 November 2025,Risk & Audit,Audit Finding,CRITICAL,True,IBSH00059,IV0037," 92,857.00 "
INC000240,3 October 2025,Compliance,Approval Delay,HIGH,True,IBSH00012,IV0026," 727,269.00 "
INC000241,12 December 2025,Procurement,PO Expiry,CRITICAL,True,IBSH00011,IV0032," 68,840.00 "
INC000242,9 January 2026,Procurement,Vendor Risk,LOW,True,IBSH00028,IV0045," 563,815.00 "
INC000243,18 March 2026,Compliance,Payment Delay,HIGH,True,IBSH00070,IV0037," 58,823.00 "
INC000244,3 May 2026,Procurement,Vendor Risk,MEDIUM,True,IBSH00076,IV0010," 339,761.00 "
INC000245,21 December 2025,Operations,Vendor Risk,HIGH,True,IBSH00073,IV0025," 180,341.00 "
INC000246,13 May 2026,Vendor Management,Contract Non-Compliance,HIGH,False,IBSH00065,IV0048," 412,491.00 "
INC000247,25 November 2025,Legal,Contract Non-Compliance,LOW,True,IBSH00044,IV0039," 468,320.00 "
INC000248,11 April 2026,Procurement,Payment Delay,CRITICAL,False,IBSH00058,IV0032," 352,230.00 "
INC000249,25 September 2025,Vendor Management,Audit Finding,CRITICAL,True,IBSH00011,IV0050," 462,825.00 "
INC000250,13 April 2026,Compliance,Contract Non-Compliance,MEDIUM,True,IBSH00035,IV0010," 500,000.00 "
INC000251,12 December 2025,Risk & Audit,Contract Non-Compliance,CRITICAL,True,IBSH00012,IV0001," 342,061.00 "
INC000252,5 November 2025,Compliance,PO Expiry,HIGH,True,IBSH00012,IV0012," 292,870.00 "
INC000253,7 January 2026,Procurement,Contract Non-Compliance,CRITICAL,True,IBSH00046,IV0036," 118,310.00 "
INC000254,18 July 2025,Procurement,Payment Delay,HIGH,False,IBSH00053,IV0025," 413,951.00 "
INC000255,14 July 2025,IT,PO Expiry,MEDIUM,False,IBSH00088,IV0025," 609,743.00 "
INC000256,26 August 2025,Finance,Policy Violation,HIGH,True,IBSH00019,IV0005," 325,759.00 "
INC000257,25 August 2025,Finance,Policy Violation,HIGH,True,IBSH00010,IV0024," 451,557.00 "
INC000258,7 October 2025,Operations,Vendor Risk,CRITICAL,True,IBSH00059,IV0007," 632,651.00 "
INC000259,9 August 2025,Risk & Audit,Audit Finding,LOW,True,IBSH00043,IV0029," 424,913.00 "
INC000260,19 November 2025,Risk & Audit,Vendor Risk,MEDIUM,True,IBSH00062,IV0021," 325,029.00 "
INC000261,30 August 2025,HR,Vendor Risk,HIGH,True,IBSH00042,IV0025," 315,605.00 "
